Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 11 Pro,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,40 GB,2 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1125G4,Windows 11 Home,Var,0,3,7 GHz,1366 x 768,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,10110U,Windows 10 Home,,0,4,1 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1125G4,Windows 11 Home,Var,0,3,7 GHz,1366 x 768,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1125G4,Windows 11 Home,Var,0,3,7 GHz,1366 x 768,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR4,Paylaüçmlç,,TN,11.Nesil,1115G4,Windows 11 Home,,0,3,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 10 Pro,,0,4,2 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 10 Pro,,0,4,2 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,,0,4,5 GHz,1920 x 1080,Yok,12 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1115G4,Windows 11 Pro,,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Pro,,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Pro,,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Windows 11 Pro,,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 11 Pro,,0,4,5 GHz,1920 x 1080,Yok,12 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1195G7,Yok (Free Dos),,0,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Ubuntu,Var,0,4,2 GHz,1920 x 1080,,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Ubuntu,Yok,0,4,2 GHz,1920 x 1080,,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Ubuntu,Yok,0,4,2 GHz,1920 x 1080,,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Ubuntu,Yok,0,4,2 GHz,1920 x 1080,,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Home,Yok,0,4,2 GHz,1920 x 1080,,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Windows 10 Pro,Yok,0,4,2 GHz,1920 x 1080,,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,,12 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,,12 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Ubuntu,Var,0,4,7 GHz,1920 x 1080,,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Ubuntu,Var,0,4,7 GHz,1920 x 1080,,16 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1195G7,Windows 11 Home,Yok,0,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1135G7,Yok (Free Dos),Yok,0,2,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,GDDR4,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
2666 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Ubuntu,Var,0,4,1 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3000 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Windows 11 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3000 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1155G7,Windows 11 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Ubuntu,Yok,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Windows 11 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1115G4,Windows 11 Home,Var,0,4,1 GHz,1920 x 1080,Yok,12 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Windows 10 Pro,Var,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Ubuntu,Var,0,4,7 GHz,1920 x 1080,Yok,32 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1115G4,Yok (Free Dos),Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,500 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1165G7,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1115G4,Windows 11 Home,,0,4,1 GHz,1920 x 1080,Yok,12 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1115G4,Windows 11 Home,,0,4,1 GHz,1920 x 1080,Yok,12 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,,16 GB,512 GB,Notebook,DÅüÅk
2666 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1115G4,Yok (Free Dos),Var,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1115G4,Yok (Free Dos),Var,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,DÅüÅk
2666 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,DÅüÅk
2666 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,DÅüÅk
2666 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Windows 10 Pro,Yok,0,4,7 GHz,1920 x 1080,Var,32 GB,512 GB,Notebook,YÅksek
2666 MHz,2 kg ve Altç,15,6 iná,GDDR4,Paylaüçmlç,Dahili Ekran Kartç,SVA,11.Nesil,1165G7,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1115G4,Windows 11 Home,Yok,0,4,1 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,11.Nesil,1165G7,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1165G7,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Yok,0,4,2 GHz,1920 x 1080,Yok,12 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,64 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1135G7,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,11.Nesil,1135G7,Windows 10 Pro,Var,0,4,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,11.Nesil,1155G7,Windows 11 Home,Var,0,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,11.Nesil,1135G7,Yok (Free Dos),Var,1,4,2 GHz,1920 x 1080,Var,16 GB,512 GB,Notebook,Orta
,2 - 4 kg,16 iná,GDDR6,12 GB,Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,0,4,7 GHz,3840 x 2400,Var,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
,2 - 4 kg,16 iná,GDDR6,12 GB,Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,0,4,7 GHz,3840 x 2400,Var,32 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,17,3 iná,GDDR6,16 GB,Harici Ekran Kartç,TN,12.Nesil,12700H,Windows 11 Home,Var,1,4,7 GHz,3840 x 2160,Yok,32 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
3200 MHz,1 - 2 kg,14 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,1,4,7 GHz,1920 x 1080,Var,16 GB,256 GB,Notebook,Orta
3200 MHz,1 - 2 kg,14 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,1,4,7 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR5,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Home,Yok,0,4,7 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Var,1,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1235U,Windows 11 Pro,Var,0,4,4 GHz,1920 x 1080,Var,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Var,64 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Home,Var,1,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,SVA,12.Nesil,1255U,Windows 11 Home,,0,4,7 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Yok (Free Dos),,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1235U,Yok (Free Dos),Yok,0,4,4 GHz,1920 x 1080,,16 GB,512 GB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1255U,Windows 11 Pro,Yok,0,4,7 GHz,1920 x 1080,,32 GB,1 TB,Notebook,YÅksek
3200 MHz,2 kg ve Altç,15,6 iná,GDDR6,2 GB,Harici Ekran Kartç,SVA,12.Nesil,1255U,Yok (Free Dos),Var,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,1 - 2 kg,16 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1260P,Yok (Free Dos),Yok,0,4,7 GHz,2560 x 1600,Var,32 GB,512 GB,Notebook,YÅksek
3200 MHz,1 - 2 kg,16 iná,GDDR6,2 GB,Harici Ekran Kartç,IPS,12.Nesil,1260P,Yok (Free Dos),Yok,0,4,7 GHz,2560 x 1600,Var,32 GB,512 GB,Notebook,YÅksek
4800 MHz,1 - 2 kg,15,6 iná,,4 GB,Harici Ekran Kartç,LED,12.Nesil,12500H,Ubuntu,,1,4,5 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,LED,12.Nesil,12700H,Windows 11 Pro,,1,4,7 GHz,1920 x 1200,Var,16 GB,1 TB,Notebook,Äok YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12500H,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,12.Nesil,12450H,Yok (Free Dos),Var,0,4,4 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12450H,Yok (Free Dos),Var,1,4,4 GHz,1920 x 1080,Yok,8 GB,500 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,12.Nesil,12700H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,32 GB,1 TB,Oyun Bilgisayarlarç,Orta
